ukprn,he_provider,academic_year,country_of_he_provider,region_of_he_provider,category_marker,category,value
10006841,The University of Bolton,2018/19,England,North West,Method of Scope 3 carbon emissions from waste,Residential,NA
10006841,The University of Bolton,2018/19,England,North West,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,NA
10000385,The Arts University Bournemouth,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Non-residential,Detailed
10000385,The Arts University Bournemouth,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Residential,Detailed
10000385,The Arts University Bournemouth,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Detailed
10000824,Bournemouth University,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Non-residential,NA
10000824,Bournemouth University,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Residential,NA
10000824,Bournemouth University,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,NA
10007785,The University of Bradford,2018/19,England,Yorkshire and The Humber,Method of Scope 3 carbon emissions from waste,Non-residential,Detailed
10007785,The University of Bradford,2018/19,England,Yorkshire and The Humber,Method of Scope 3 carbon emissions from waste,Residential,NA
10007785,The University of Bradford,2018/19,England,Yorkshire and The Humber,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Detailed
10000886,The University of Brighton,2018/19,England,South East,Method of Scope 3 carbon emissions from waste,Non-residential,Detailed
10000886,The University of Brighton,2018/19,England,South East,Method of Scope 3 carbon emissions from waste,Residential,Detailed
10000886,The University of Brighton,2018/19,England,South East,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Detailed
10000936,The University College of Osteopathy,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Non-residential,NA
10000936,The University College of Osteopathy,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Residential,NA
10000936,The University College of Osteopathy,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,NA
10007786,The University of Bristol,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Non-residential,NA
10007786,The University of Bristol,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Residential,NA
10007786,The University of Bristol,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,NA
10000961,Brunel University London,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Non-residential,Medium
10000961,Brunel University London,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Residential,Medium
10000961,Brunel University London,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Medium
10000975,Buckinghamshire New University,2018/19,England,South East,Method of Scope 3 carbon emissions from waste,Non-residential,NA
10000975,Buckinghamshire New University,2018/19,England,South East,Method of Scope 3 carbon emissions from waste,Residential,NA
10000975,Buckinghamshire New University,2018/19,England,South East,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,NA
10007788,The University of Cambridge,2018/19,England,East of England,Method of Scope 3 carbon emissions from waste,Non-residential,Medium
10007788,The University of Cambridge,2018/19,England,East of England,Method of Scope 3 carbon emissions from waste,Residential,NA
10007788,The University of Cambridge,2018/19,England,East of England,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Medium
10003324,The Institute of Cancer Research,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Non-residential,Medium
10003324,The Institute of Cancer Research,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Residential,NA
10003324,The Institute of Cancer Research,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Medium
10001143,Canterbury Christ Church University,2018/19,England,South East,Method of Scope 3 carbon emissions from waste,Non-residential,Basic
10001143,Canterbury Christ Church University,2018/19,England,South East,Method of Scope 3 carbon emissions from waste,Residential,Basic
10001143,Canterbury Christ Church University,2018/19,England,South East,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Basic
10007814,Cardiff University,2018/19,Wales,Wales,Method of Scope 3 carbon emissions from waste,Non-residential,NA
10007814,Cardiff University,2018/19,Wales,Wales,Method of Scope 3 carbon emissions from waste,Residential,NA
10007814,Cardiff University,2018/19,Wales,Wales,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,NA
10007854,Cardiff Metropolitan University,2018/19,Wales,Wales,Method of Scope 3 carbon emissions from waste,Non-residential,Basic
10007854,Cardiff Metropolitan University,2018/19,Wales,Wales,Method of Scope 3 carbon emissions from waste,Residential,Basic
10007854,Cardiff Metropolitan University,2018/19,Wales,Wales,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Basic
10007141,The University of Central Lancashire,2018/19,England,North West,Method of Scope 3 carbon emissions from waste,Non-residential,Detailed
10007141,The University of Central Lancashire,2018/19,England,North West,Method of Scope 3 carbon emissions from waste,Residential,Detailed
10007141,The University of Central Lancashire,2018/19,England,North West,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Detailed
10007848,University of Chester,2018/19,England,North West,Method of Scope 3 carbon emissions from waste,Non-residential,NA
10007848,University of Chester,2018/19,England,North West,Method of Scope 3 carbon emissions from waste,Residential,NA
10007848,University of Chester,2018/19,England,North West,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,NA
10007137,The University of Chichester,2018/19,England,South East,Method of Scope 3 carbon emissions from waste,Non-residential,Medium
10007137,The University of Chichester,2018/19,England,South East,Method of Scope 3 carbon emissions from waste,Residential,Medium
10007137,The University of Chichester,2018/19,England,South East,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Medium
10001478,"City, University of London",2018/19,England,London,Method of Scope 3 carbon emissions from waste,Non-residential,Basic
10001478,"City, University of London",2018/19,England,London,Method of Scope 3 carbon emissions from waste,Residential,NA
10001478,"City, University of London",2018/19,England,London,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Basic
10001653,Conservatoire for Dance and Drama,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Non-residential,NA
10001653,Conservatoire for Dance and Drama,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Residential,NA
10001653,Conservatoire for Dance and Drama,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,NA
10007761,Courtauld Institute of Art,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Non-residential,Basic
10007761,Courtauld Institute of Art,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Residential,Basic
10007761,Courtauld Institute of Art,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Basic
10001726,Coventry University,2018/19,England,West Midlands,Method of Scope 3 carbon emissions from waste,Non-residential,Basic
10001726,Coventry University,2018/19,England,West Midlands,Method of Scope 3 carbon emissions from waste,Residential,Basic
10001726,Coventry University,2018/19,England,West Midlands,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Basic
10007822,Cranfield University,2018/19,England,East of England,Method of Scope 3 carbon emissions from waste,Non-residential,Medium
10007822,Cranfield University,2018/19,England,East of England,Method of Scope 3 carbon emissions from waste,Residential,Medium
10007822,Cranfield University,2018/19,England,East of England,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Medium
10006427,University for the Creative Arts,2018/19,England,South East,Method of Scope 3 carbon emissions from waste,Non-residential,Detailed
10006427,University for the Creative Arts,2018/19,England,South East,Method of Scope 3 carbon emissions from waste,Residential,Detailed
10006427,University for the Creative Arts,2018/19,England,South East,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Detailed
10007842,University of Cumbria,2018/19,England,North West,Method of Scope 3 carbon emissions from waste,Non-residential,Basic
10007842,University of Cumbria,2018/19,England,North West,Method of Scope 3 carbon emissions from waste,Residential,Basic
10007842,University of Cumbria,2018/19,England,North West,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Basic
10001883,De Montfort University,2018/19,England,East Midlands,Method of Scope 3 carbon emissions from waste,Non-residential,Detailed
10001883,De Montfort University,2018/19,England,East Midlands,Method of Scope 3 carbon emissions from waste,Residential,Basic
10001883,De Montfort University,2018/19,England,East Midlands,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Detailed
10007851,University of Derby,2018/19,England,East Midlands,Method of Scope 3 carbon emissions from waste,Non-residential,Medium
10007851,University of Derby,2018/19,England,East Midlands,Method of Scope 3 carbon emissions from waste,Residential,Basic
10007851,University of Derby,2018/19,England,East Midlands,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Medium
10007852,The University of Dundee,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Non-residential,Medium
10007852,The University of Dundee,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Residential,NA
10007852,The University of Dundee,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Detailed
10007143,University of Durham,2018/19,England,North East,Method of Scope 3 carbon emissions from waste,Non-residential,Detailed
10007143,University of Durham,2018/19,England,North East,Method of Scope 3 carbon emissions from waste,Residential,Detailed
10007143,University of Durham,2018/19,England,North East,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Detailed
10007789,The University of East Anglia,2018/19,England,East of England,Method of Scope 3 carbon emissions from waste,Non-residential,Medium
10007789,The University of East Anglia,2018/19,England,East of England,Method of Scope 3 carbon emissions from waste,Residential,Medium
10007789,The University of East Anglia,2018/19,England,East of England,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Medium
10007144,The University of East London,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Non-residential,Basic
10007144,The University of East London,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Residential,Basic
10007144,The University of East London,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Basic
10007823,Edge Hill University,2018/19,England,North West,Method of Scope 3 carbon emissions from waste,Non-residential,Basic
10007823,Edge Hill University,2018/19,England,North West,Method of Scope 3 carbon emissions from waste,Residential,Basic
10007823,Edge Hill University,2018/19,England,North West,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Basic
10007772,Edinburgh Napier University,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Non-residential,Detailed
10007772,Edinburgh Napier University,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Residential,Basic
10007772,Edinburgh Napier University,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Medium
10007790,The University of Edinburgh,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Non-residential,Detailed
10007790,The University of Edinburgh,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Residential,Detailed
10007790,The University of Edinburgh,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Detailed
10007791,The University of Essex,2018/19,England,East of England,Method of Scope 3 carbon emissions from waste,Non-residential,Medium
10007791,The University of Essex,2018/19,England,East of England,Method of Scope 3 carbon emissions from waste,Residential,Medium
10007791,The University of Essex,2018/19,England,East of England,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Medium
10007792,The University of Exeter,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Non-residential,Medium
10007792,The University of Exeter,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Residential,Medium
10007792,The University of Exeter,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Medium
10008640,Falmouth University,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Non-residential,NA
10008640,Falmouth University,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Residential,NA
10008640,Falmouth University,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,NA
10004511,The National Film and Television School,2018/19,England,South East,Method of Scope 3 carbon emissions from waste,Non-residential,NA
10004511,The National Film and Television School,2018/19,England,South East,Method of Scope 3 carbon emissions from waste,Residential,NA
10004511,The National Film and Television School,2018/19,England,South East,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,NA
10007762,Glasgow Caledonian University,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Non-residential,Detailed
10007762,Glasgow Caledonian University,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Residential,Basic
10007762,Glasgow Caledonian University,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Detailed
10002681,Glasgow School of Art,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Non-residential,Medium
10002681,Glasgow School of Art,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Residential,Basic
10002681,Glasgow School of Art,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Medium
10007794,The University of Glasgow,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Non-residential,Basic
10007794,The University of Glasgow,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Residential,Basic
10007794,The University of Glasgow,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Basic
10007145,University of Gloucestershire,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Non-residential,Basic
10007145,University of Gloucestershire,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Residential,Basic
10007145,University of Gloucestershire,2018/19,England,South West,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Basic
10007833,Glyndŵr University,2018/19,Wales,Wales,Method of Scope 3 carbon emissions from waste,Non-residential,Basic
10007833,Glyndŵr University,2018/19,Wales,Wales,Method of Scope 3 carbon emissions from waste,Residential,Basic
10007833,Glyndŵr University,2018/19,Wales,Wales,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Basic
10002718,Goldsmiths College,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Non-residential,NA
10002718,Goldsmiths College,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Residential,NA
10002718,Goldsmiths College,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,NA
10007146,The University of Greenwich,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Non-residential,Basic
10007146,The University of Greenwich,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Residential,Basic
10007146,The University of Greenwich,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Basic
10007825,Guildhall School of Music and Drama,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Non-residential,Basic
10007825,Guildhall School of Music and Drama,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Residential,Basic
10007825,Guildhall School of Music and Drama,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Basic
10040812,Harper Adams University,2018/19,England,West Midlands,Method of Scope 3 carbon emissions from waste,Non-residential,Basic
10040812,Harper Adams University,2018/19,England,West Midlands,Method of Scope 3 carbon emissions from waste,Residential,Basic
10040812,Harper Adams University,2018/19,England,West Midlands,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Basic
10007764,Heriot-Watt University,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Non-residential,Medium
10007764,Heriot-Watt University,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Residential,Medium
10007764,Heriot-Watt University,2018/19,Scotland,Scotland,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Medium
10007147,University of Hertfordshire,2018/19,England,East of England,Method of Scope 3 carbon emissions from waste,Non-residential,NA
10007147,University of Hertfordshire,2018/19,England,East of England,Method of Scope 3 carbon emissions from waste,Residential,NA
10007147,University of Hertfordshire,2018/19,England,East of England,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,NA
10007148,The University of Huddersfield,2018/19,England,Yorkshire and The Humber,Method of Scope 3 carbon emissions from waste,Non-residential,NA
10007148,The University of Huddersfield,2018/19,England,Yorkshire and The Humber,Method of Scope 3 carbon emissions from waste,Residential,NA
10007148,The University of Huddersfield,2018/19,England,Yorkshire and The Humber,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,NA
10007149,The University of Hull,2018/19,England,Yorkshire and The Humber,Method of Scope 3 carbon emissions from waste,Non-residential,Basic
10007149,The University of Hull,2018/19,England,Yorkshire and The Humber,Method of Scope 3 carbon emissions from waste,Residential,Basic
10007149,The University of Hull,2018/19,England,Yorkshire and The Humber,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Basic
10003270,"Imperial College of Science, Technology and Medicine",2018/19,England,London,Method of Scope 3 carbon emissions from waste,Non-residential,Detailed
10003270,"Imperial College of Science, Technology and Medicine",2018/19,England,London,Method of Scope 3 carbon emissions from waste,Residential,Detailed
10003270,"Imperial College of Science, Technology and Medicine",2018/19,England,London,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Detailed
10007767,Keele University,2018/19,England,West Midlands,Method of Scope 3 carbon emissions from waste,Non-residential,Medium
10007767,Keele University,2018/19,England,West Midlands,Method of Scope 3 carbon emissions from waste,Residential,Medium
10007767,Keele University,2018/19,England,West Midlands,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Medium
10007150,The University of Kent,2018/19,England,South East,Method of Scope 3 carbon emissions from waste,Non-residential,Detailed
10007150,The University of Kent,2018/19,England,South East,Method of Scope 3 carbon emissions from waste,Residential,Detailed
10007150,The University of Kent,2018/19,England,South East,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Detailed
10003645,King's College London,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Non-residential,Medium
10003645,King's College London,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Residential,Medium
10003645,King's College London,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Medium
10003678,Kingston University,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Non-residential,Detailed
10003678,Kingston University,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Residential,Detailed
10003678,Kingston University,2018/19,England,London,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Detailed
10007768,The University of Lancaster,2018/19,England,North West,Method of Scope 3 carbon emissions from waste,Non-residential,Medium
10007768,The University of Lancaster,2018/19,England,North West,Method of Scope 3 carbon emissions from waste,Residential,Medium
10007768,The University of Lancaster,2018/19,England,North West,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Medium
10003854,Leeds Arts University,2018/19,England,Yorkshire and The Humber,Method of Scope 3 carbon emissions from waste,Non-residential,Basic
10003854,Leeds Arts University,2018/19,England,Yorkshire and The Humber,Method of Scope 3 carbon emissions from waste,Residential,NA
10003854,Leeds Arts University,2018/19,England,Yorkshire and The Humber,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Basic
10003861,Leeds Beckett University,2018/19,England,Yorkshire and The Humber,Method of Scope 3 carbon emissions from waste,Non-residential,Basic
10003861,Leeds Beckett University,2018/19,England,Yorkshire and The Humber,Method of Scope 3 carbon emissions from waste,Residential,Basic
10003861,Leeds Beckett University,2018/19,England,Yorkshire and The Humber,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Basic
10007795,The University of Leeds,2018/19,England,Yorkshire and The Humber,Method of Scope 3 carbon emissions from waste,Non-residential,Detailed
10007795,The University of Leeds,2018/19,England,Yorkshire and The Humber,Method of Scope 3 carbon emissions from waste,Residential,Medium
10007795,The University of Leeds,2018/19,England,Yorkshire and The Humber,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Basic
10003863,Leeds Trinity University,2018/19,England,Yorkshire and The Humber,Method of Scope 3 carbon emissions from waste,Non-residential,Medium
10003863,Leeds Trinity University,2018/19,England,Yorkshire and The Humber,Method of Scope 3 carbon emissions from waste,Residential,Medium
10003863,Leeds Trinity University,2018/19,England,Yorkshire and The Humber,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Medium
10007796,The University of Leicester,2018/19,England,East Midlands,Method of Scope 3 carbon emissions from waste,Non-residential,Basic
10007796,The University of Leicester,2018/19,England,East Midlands,Method of Scope 3 carbon emissions from waste,Residential,Basic
10007796,The University of Leicester,2018/19,England,East Midlands,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Basic
10007151,The University of Lincoln,2018/19,England,East Midlands,Method of Scope 3 carbon emissions from waste,Non-residential,Medium
10007151,The University of Lincoln,2018/19,England,East Midlands,Method of Scope 3 carbon emissions from waste,Residential,Medium
10007151,The University of Lincoln,2018/19,England,East Midlands,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Medium
10003956,Liverpool Hope University,2018/19,England,North West,Method of Scope 3 carbon emissions from waste,Non-residential,Medium
10003956,Liverpool Hope University,2018/19,England,North West,Method of Scope 3 carbon emissions from waste,Residential,Medium
10003956,Liverpool Hope University,2018/19,England,North West,Method of Scope 3 carbon emissions from waste,Total method used to calculate scope 3 carbon emissions from waste,Medium
10003957,Liverpool John Moores University,2018/19,England,North West,Method of Scope 3 carbon emissions from waste,Non-residential,Detailed
10003957,Liverpool John Moores University,2018/19,England,North West,Method of Scope 3 carbon emissions from waste,Residential,NA
